Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D0,LED_3528,LED_3528_Hubei_Kento_Elec,158.0,-87.0,90.0,top
D1,LED_3528,LED_3528_Hubei_Kento_Elec,153.0,-87.0,90.0,top
D2,LED_3528,LED_3528_Hubei_Kento_Elec,148.0,-87.0,90.0,top
D3,LED_3528,LED_3528_Hubei_Kento_Elec,143.0,-87.0,90.0,top
D4,LED_3528,LED_3528_Hubei_Kento_Elec,138.0,-87.0,90.0,top
D5,LED_3528,LED_3528_Hubei_Kento_Elec,133.0,-87.0,90.0,top
D6,LED_3528,LED_3528_Hubei_Kento_Elec,128.0,-87.0,90.0,top
D7,LED_3528,LED_3528_Hubei_Kento_Elec,123.0,-87.0,90.0,top
D8,LED-6_3535,RS-3535MWAR,155.5,-93.0,90.0,top
D9,LED-6_3535,RS-3535MWAR,145.5,-93.0,90.0,top
D10,LED-6_3535,RS-3535MWAR,135.5,-93.0,90.0,top
D11,LED-6_3535,RS-3535MWAR,125.5,-93.0,90.0,top
Q1,MMBF170,SOT-23,117.21,-86.8,180.0,top
Q2,MMBF170,SOT-23,173.355,-101.6,0.0,top
R1,8.2K,R_1206_3216Metric,158.0,-79.3,-90.0,top
R2,8.2K,R_1206_3216Metric,154.0,-79.3,-90.0,top
R3,8.2K,R_1206_3216Metric,150.0,-79.3,-90.0,top
R4,8.2K,R_1206_3216Metric,146.0,-79.3,-90.0,top
R5,8.2K,R_1206_3216Metric,142.0,-79.3,-90.0,top
R6,8.2K,R_1206_3216Metric,138.0,-79.3,-90.0,top
R7,8.2K,R_1206_3216Metric,134.0,-79.3,-90.0,top
R8,8.2K,R_1206_3216Metric,130.0,-79.3,-90.0,top
R9,100R,R_1206_3216Metric,146.0,-103.5,-90.0,top
R10,100R,R_1206_3216Metric,146.0,-109.0,-90.0,top
R11,2.7K,R_1206_3216Metric,126.0,-79.3,-90.0,top
R12,1.8K,R_1206_3216Metric,118.0,-79.3,-90.0,top
R13,3.9K,R_1206_3216Metric,122.0,-79.3,-90.0,top
R14,10K,R_1206_3216Metric,112.52,-87.05,-90.0,top
R15,10K,R_1206_3216Metric,168.55,-101.8,90.0,top
R16,18R,R_1206_3216Metric,155.38,-70.52,0.0,top
R17,10K,R_1206_3216Metric,168.55,-107.8,90.0,top
R18,10K,R_1206_3216Metric,172.55,-107.8,90.0,top
SW1,SW_Push,SW_SMD_PUSH_6mm_h7mm,154.432,-106.172,-90.0,top
SW2,SW_Push,SW_SMD_PUSH_6mm_h7mm,162.56,-106.172,-90.0,top
SW3,SW_Push,SW_SMD_PUSH_6mm_h4.3mm,138.43,-106.172,90.0,top
SW4,SW_DIP_x02,SW_DIP_SPSTx02_Slide_Dungguan-Guangzhu-Industrial_DIS02LSGET_W6.0mm_P2.54mm,167.36,-79.67,180.0,top
